Key,English [en-GB]
item_mountainhammer_3,Attack: 3 Range: -
item_name_amuletoflife,Amulet of Life
item_name_ancientdrill,Ancient Drill
item_name_balancedblade,Balanced Blade
item_name_battleaxe,Battle Axe
item_name_blackcenser,Black Censer
item_name_blackknife,Black Knife
item_name_blinkingcape,Blinking Cape
item_name_bloodyaxe,Bloody Axe
item_name_bloodyaxe_combat_log,Attack gains +1
item_name_bootsofdashing,Boots of Dashing
item_name_bootsoflevitation,Boots of Levitation
item_name_bootsofquickness,Boots of Quickness
item_name_bootsofspeed,Boots of Speed
item_name_bootsofsprinting,Boots of Sprinting
item_name_bootsofstriding,Boots of Striding
item_name_brilliantblade,Brilliant Blade
item_name_chainmail,Chainmail
item_name_circletofelements,Circlet of Elements
item_name_cloakofinvisibility,Cloak of Invisibility
item_name_cloakofphasing,Cloak of Phasing
item_name_cloakofpockets,Cloak of Pockets
item_name_comfortableshoes,Comfortable Shoes
item_name_curiousgear,Curious Gear
item_name_doomedcompass,Doomed Compass
item_name_doompowder,Doom Powder
item_name_drakescalearmor,Drakescale Armor
item_name_drakescaleboots,Drakescale Boots
item_name_drakescalehelm,Drakescale Helm
item_name_eagle-eyegoggles,Eagle-Eye Goggles
item_name_empoweringtalisman,Empowering Talisman
item_name_endurancefootwraps,Endurance Footwraps
item_name_falconfigurine,Falcon Figurine
item_name_fleabittenshawl,Flea-Bitten Shawl
item_name_frigidblade,Frigid Blade
item_name_fueledfalchion,Fueled Falchion
item_name_giantremotespider,Giant Remote Spider
item_name_halberd,Halberd
item_name_hawkhelm,Hawk Helm
item_name_heatershield,Heater Shield
item_name_heavybasinet,Heavy Basinet
item_name_heavygreaves,Heavy Greaves
item_name_helixring,Helix Ring
item_name_hidearmor,Hide Armor
item_name_hookedchain,Hooked Chain
item_name_infernoblade,Inferno Blade
item_name_ironhelmet,Iron Helmet
item_name_jaggedsword,Jagged Sword
item_name_leatherarmor,Leather Armor
item_name_longspear,Long Spear
item_name_luckyeye,Lucky Eye
item_name_majorhealingpotion,Major Healing Potion
item_name_majormanapotion,Major Mana Potion
item_name_majorpowerpotion,Major Power Potion
item_name_majorstaminapotion,Major Stamina Potion
item_name_maskofterror,Mask of Terror
item_name_minorhealingpotion,Minor Healing Potion
item_name_minormanapotion,Minor Mana Potion
item_name_minorpowerpotion,Minor Power Potion
item_name_minorstaminapotion,Minor Stamina Potion
item_name_moonearring,Moon Earring
item_name_mountainhammer,Mountain Hammer
item_name_necklaceofteeth,Necklace of Teeth
item_name_nightblade,Night Blade
item_name_orbofdawn,Orb of Dawn
item_name_orboftwilight,Orb of Twilight
item_name_pendantofdarkpacts,Pendant of Dark Pacts
item_name_piercingbow,Piercing Bow
item_name_platemail,Platemail
item_name_poisondagger,Poison Dagger
item_name_protectivecharm,Protective Charm
item_name_reapingscythe,Reaping Scythe
item_name_remotespider,Remote Spider
item_name_resonantcrystal,Resonant Crystal
item_name_ringofbrutality,Ring of Brutality
item_name_ringofhaste,Ring of Haste
item_name_ringofskulls,Ring of Skulls
item_name_robesofevocation,Robes of Evocation
item_name_robesofsummoning,Robes of Summoning
item_name_rocketboots,Rocket Boots
item_name_sacrificialrobes,Sacrificial Robes
item_name_scrollofhealing,Scroll of Healing
item_name_scrollofstamina,Scroll of Stamina
item_name_secondchancering,Second Chance Ring
item_name_secondskin,Second Skin
item_name_serenesandals,Serene Sandals
item_name_shadowarmor,Shadow Armor
item_name_shoesofhappiness,Shoes of Happiness
item_name_skullofhatred,Skull of Hatred
item_name_spikedshield,Spiked Shield
item_name_splintmail,Splintmail
item_name_staffofelements,Staff of Elements
item_name_staffofeminence,Staff of Eminence
item_name_staffofsummoning,Staff of Summoning
item_name_staffofxorn,Staff of Xorn
item_name_starearring,Star Earring
item_name_steamarmor,Steam Armor
item_name_steelring,Steel Ring
item_name_steelsabatons,Steel Sabatons
item_name_stormblade,Storm Blade
item_name_studdedleather,Studded Leather
item_name_stunpowder,Stun Powder
item_name_sunearring,Sun Earring
item_name_superhealingpotion,Super Healing Potion
item_name_swordedgearmor,Swordedge Armor
item_name_telescopiclens,Telescopic Lens
item_name_towershield,Tower Shield
item_name_tremorblade,Tremor Blade
item_name_unstableexplosives,Unstable Explosives
item_name_versatiledagger,Versatile Dagger
item_name_volatilebomb,Volatile Bomb
item_name_wallshield,Wall Shield
item_name_wandofbrilliance,Wand of Brilliance
item_name_wandofdarkness,Wand of Darkness
item_name_wandoffrost,Wand of Frost
item_name_wandofinfernos,Wand of Infernos
item_name_wandofstorms,Wand of Storms
item_name_wandoftremors,Wand of Tremors
item_name_warhammer,War Hammer
item_name_weightednet,Weighted Net
item_name_wingedshoes,Winged Shoes
item_necklaceofteeth,"Any time you kill an enemy during your turn, perform a <nobr>""Heal <sprite name=Heal> 1, Self""</nobr> action."
item_nightblade,"<line-height=19.5>During your melee attack, <voffset=-3><size=150%><sprite name=ConsumeDark></size></voffset> to add <nobr>+2 Attack <sprite name=Attack></nobr> to a single attack."
item_orbofdawn,"<line-height=19.5>During your turn, consume <nobr>Dark <voffset=-3><size=150%><sprite name=ConsumeDark></size></voffset></nobr> to infuse <nobr>Light <voffset=-3><size=150%><sprite name=Light></size></voffset></nobr>."
item_orboftwilight,"<line-height=19.5>During your turn, consume <nobr>Light <voffset=-3><size=150%><sprite name=ConsumeLight></size></voffset></nobr> to infuse <nobr>Dark <voffset=-3><size=150%><sprite name=Dark></size></voffset></nobr>."
item_pendantofdarkpacts,"During your turn, <nobr>Refresh <sprite name=Refresh></nobr> two of your consumed <sprite name=InvSmallItem> items. Gain <nobr>Curse<sprite name=Curse></nobr>."
item_piercingbow,"During your ranged attack, ignore all Shield values for the entire Attack action."
item_platemail,"On the next five sources of damage from attacks targeting you, gain <nobr>Shield <sprite name=Shield> 1. </nobr>"
item_poisondagger,"During your melee attack, add <nobr>POISON<sprite name=Poison></nobr> to a single attack."
item_powercore,Item_PowerCore PLACEHOLDER
item_protectivecharm,You are immune to POISON <sprite name=Poison> and WOUND <sprite name=Wound>
item_reapingscythe,"During your single-target melee attack action, turn the attack into the following:"
item_remotespider,"During your turn, <nobr>POISON <sprite name=Poison></nobr> all adjacent enemies."
item_resonantcrystal,"During your turn, destroy an adjacent obstacle."
item_ringofbrutality,"At the end of your turn, play one card from your hand and immediately perform the top action of the card."
item_ringofhaste,"At the end of your turn, play one card from your hand and immediately perform the bottom action of the card."
item_ringofskulls,Summon Skeleton
item_robesofevocation,During your attack <voffset=-3><size=150%><sprite name=ConsumeAny></size></voffset> to add <nobr>+1 Attack <sprite name=Attack></nobr>  to the entire Attack action.
item_robesofsummoning,"During your turn, perform a ""<nobr>Heal <sprite name=Heal> 2, target any summoned ally"" action."
item_rocketboots,"During your movement, add <nobr>+3 Move <sprite name=Move></nobr> and <nobr>Jump <sprite name=Jump></nobr> to a single movement."
item_sacrificialrobes,"During your ranged attack, suffer 3 damage to add <nobr>+1 Attack <sprite name=Attack></nobr> to the entire Attack action."
item_scrollofhealing,"During your turn, perform a ""<nobr>Heal <sprite name=Heal> 3,</nobr> <nobr>Range <sprite name=Range> 5""</nobr> action."
item_scrollofpower,Item_ScrollOfPower PLACEHOLDER
item_scrollofstamina,"During your turn, an ally within <nobr>Range <sprite name=Range> 5</nobr> may <nobr>Recover <sprite name=Recover></nobr> up to two of their discarded cards."
item_secondchancering,"At the end of your turn, play two cards from your hand and perform an additional turn this round based on your new leading initiative (which must be later than your current initiative)"
item_secondskin,Remove two -1 from your attack modifier deck.
item_serenesandals,"Whenever you use the default bottom of an ability card, perform a <nobr>""Move <sprite name=Move> 4""</nobr> instead of a <nobr>""Move <sprite name=Move> 2""</nobr> action."
item_shadowarmor,"When you are damaged by an attack targeting you, suffer no damage instead."
item_shoesofhappiness,"If you move 6 or more hexes on your turn, gain <sprite name=XP1>."
item_skullbaneaxe,Item_SkullbaneAxe PLACEHOLDER
item_skullofhatred,"During your turn, <nobr>CURSE <sprite name=Curse></nobr> all adjacent enemies."
item_spikedshield,"When damaged by <nobr>an attack</nobr>, gain <nobr>Shield <sprite name=Shield> 1</nobr> and <nobr>Retaliate <sprite name=Retaliate> 2</nobr> for the attack."
item_splintmail,"On the next four sources of damage from attacks targeting you, gain <nobr>Shield <sprite name=Shield> 1. </nobr>"
item_staffofelements,"During your turn, create any element."
item_staffofeminence,During your ranged attack <voffset=-3><size=150%><sprite name=ConsumeAny></size></voffset> to add <nobr>+1 Attack <sprite name=Attack></nobr>  to the entire Attack action.
item_staffofsummoning,"During your turn, a summoned ally within <nobr>Range <sprite name=Range> 3</nobr> performs a ""<nobr>Move <sprite name=Move> 3</nobr>"" action with you controlling the action. "
item_staffofxorn,"During your ranged attack, add <nobr>POISON <sprite name=Poison></nobr> and <nobr>MUDDLE <sprite name=Muddle></nobr> to the entire Attack action."
item_starearring,"During your turn, <nobr>Refresh <sprite name=Refresh></nobr> all of your spent items, perform a <nobr>""Heal <sprite name=Heal> 3,</nobr> Self"" action, and <nobr>Recover <sprite name=Recover></nobr> up to two of your discarded cards."
item_steamarmor,"On the next five sources of damage from attacks targeting you, gain <nobr>Shield <sprite name=Shield> 1.</nobr>"
item_steelring,"When damaged by an attack, gain <nobr>Shield <sprite name=Shield> 4 </nobr>for the attack."
item_steelsabatons,"If you move 1 or fewer hexes on your turn, gain <nobr>Shield <sprite name=Shield> 1</nobr> for the Round."
item_stormblade,"<line-height=19.5>During your melee attack, <voffset=-3><size=150%><sprite name=ConsumeAir></size></voffset> to add <nobr>+2 Attack <sprite name=Attack></nobr> to a single attack."
item_studdedleather,"The next two times you are attacked, the attacker gains Disadvantage and you gain <nobr>Shield <sprite name=Shield> 1</nobr> if damaged."
item_stunpowder,"During your attack, add <nobr>STUN <sprite name=Stun></nobr> to a single attack."
item_sunearring,"During your turn, <nobr>Refresh <sprite name=Refresh></nobr> all of your spent items and perform a <nobr>""Heal <sprite name=Heal> 3,</nobr> Self"" action."
item_superhealingpotion,"During your turn, perform a <nobr>""Heal <sprite name=Heal> 7,</nobr> Self"" action."
item_swordedgearmor,"On the next three sources of damage from attacks targeting you, gain <nobr>Shield <sprite name=Shield> 1</nobr>, <nobr>Retaliate <sprite name=Retaliate> 1.</nobr>"
item_telescopiclens,"During your ranged attack, add <nobr>+2 Range <sprite name=Range></nobr> to your entire Attack action."
item_thiefshood,Item_ThiefsHood PLACEHOLDER
item_towershield,"When damaged by an attack, gain <nobr>Shield <sprite name=Shield> 2 </nobr>for the attack."
item_tremorblade,"<line-height=19.5>During your melee attack, <voffset=-3><size=150%><sprite name=ConsumeEarth></size></voffset> to add <nobr>+2 Attack <sprite name=Attack></nobr> to a single attack."
item_unstableexplosives_1,"During your single-target ranged attack action, turn the attack into the following:"
item_unstableexplosives_2,All Allies in the attack area suffer 3 damage.
item_versatiledagger,"Whenever you use the default top of an ability card, perform an <nobr>""Attack <sprite name=Attack> 3""</nobr> instead of an <nobr>""Attack <sprite name=Attack> 2""</nobr> action."
item_volatilebomb,"During your single-target ranged attack action, turn the attack into the following:"
item_wallshield,"When damaged by an attack, gain <nobr>Shield <sprite name=Shield> 4 </nobr>for the attack."
item_wandofbrilliance,"During your turn, create Light."
item_wandofdarkness,"During your turn, create Dark."
item_wandoffrost,"During your turn, create Ice."
item_wandofinfernos,"During your turn, create Fire."
item_wandofstorms,"During your turn, create Air."
item_wandoftremors,"During your turn, create Earth."
item_warhammer,"During your melee attack, add <nobr>STUN <sprite name=Stun></nobr> to the entire attack action."
item_wavecrest,Item_WaveCrest PLACEHOLDER
item_weightednet,"During your ranged attack, add <nobr>IMMOBILIZE <sprite name=Immobilize></nobr> to a single attack."
item_wingedshoes,"During your movement, add <nobr>Jump <sprite name=Jump></nobr> to the movement."
jadefalcon,Jade Falcon
jekserah,Jekserah
jump,Jump
kailej,Kailej
kailej_descr,"The Valrath city of Kailej is the jewel in the Southern Desert. Its towers and peaks can be seen from miles away, a welcome sight for those journeying south across Stormbrew."
keycode_altgr,Alt Gr
keycode_backspace,Backspace
keycode_break,Break
keycode_capslock,Caps Lock
keycode_clear,Clear
keycode_delete,Delete
keycode_downarrow,Down Arrow
keycode_end,End
keycode_escape,Escape
keycode_help,Help
keycode_home,Home
keycode_insert,Insert
keycode_keypaddivide,Keypad /
keycode_keypadequals,Keypad =
keycode_keypadminus,Keypad -
keycode_keypadmultiply,Keypad *
keycode_keypadperiod,Keypad .
keycode_keypadplus,Keypad +
keycode_leftalt,Left Alt
keycode_leftapple,Left Apple
keycode_leftarrow,Left Arrow
keycode_leftcommand,Left Command
keycode_leftcontrol,Left Control
keycode_leftshift,Left Shift
keycode_leftwindows,Left Windows
keycode_menu,Menu
keycode_numlock,Numlock
keycode_pagedown,Page Down
keycode_pageup,Page Up
keycode_pause,Pause
keycode_print,Print
keycode_return,Return
keycode_rightalt,Right Alt
keycode_rightapple,Right Apple
keycode_rightarrow,Right Arrow
keycode_rightcommand,Right Command
keycode_rightcontrol,Right Control
keycode_rightshift,Right Shift
keycode_rightwindows,Right Windows
keycode_scrolllock,Scroll Lock
keycode_space,Space
keycode_sysreq,Sys Req
keycode_tab,Tab
keycode_uparrow,Up Arrow
keyport,Keyport
keyport_descr,"Keyport is the main trading hub of the western sea, and has grown wealthy and powerful. Rumours abound of the merchant's guild planning a local coup, and the garrison of Staybright has been bolstered as a precaution."
kill,Kill
kill all enemies,Kill All Enemies
kill_allnormalenemiesintargetedarea,Kill all normal enemies in the targeted area.
kill_oneadjacentenemy,Kill one adjacent normal or elite enemy.
kill_oneadjacentnormalenemy,Kill one adjacent normal enemy.
kill_onenormal,Kill one normal target
killbot,Kill Bot
labyrinthofchaos,Labyrinth of Chaos
lavagolem,Lava Golem
livingbomb,Living Bomb
livingbones,Living Bones
livingboneselite,Living Bones Elite
livingcorpse,Living Corpse
livingcorpseelite,Living Corpse Elite
livingspirit,Living Spirit
livingspiritelite,Living Spirit Elite
loading_tip_001,Try to take damage to your hit points over burning cards - it's easier to regain health than recover burned cards.
loading_tip_002,Watch out for traps! You can see them glinting occasionally to help you spot them.
loading_tip_003,You can use Push and Pull abilities to force enemies onto traps.
loading_tip_004,You can press Tab to highlight objects and characters in the level.
loading_tip_005,You can press Alt to display all of the current character's cards at once on screen.
loading_tip_006,Use R to rotate your area effect shapes to line them up with your enemies.
loading_tip_007,"Look for synergies not only between your cards, but also the cards of your other party members."
loading_tip_008,"Move abilities on the top half of a card and Attack abilities on the bottom half of a card are uncommon, but can be especially useful."
loading_tip_009,You can adjust the difficulty to your liking if you find yourself struggling or craving a challenge.
loading_tip_010,Consider whether you want to act early or late in a round - letting the enemy move towards you first can be advantageous.
loading_tip_011,You can press Tab to see the order in which enemies of the same type will act.
loading_tip_012,Enemies can't move through or target players with the Invisible condition.
loading_tip_013,"To consume elements to augment an ability, simply click the toggles that appear before confirming targets for the ability."
loading_tip_014,Be prepared for more enemies when you open a door - you may wish to retreat rather than advance in some situations.
loading_tip_015,"Choose your party before travelling - once you are on your way, you can no longer switch out party members."
loading_tip_016,"For those really tough missions, consider seeking a blessing from the Temple beforehand."
loading_tip_017,Job quests have a chance of spawning a chest - be sure to loot it before finishing the scenario objectives!
loading_tip_018,Be careful when equipping new Items - they'll be bound to that mercenary. You'll have to pay to re-equip them elsewhere.
loading_tip_019,"You can unlock more enhancement types by completing achievements, and more slots per mercenary by exploring the map."
loading_tip_020,Travel and Job quests scale as you play through the game. Story and Relic quests tend to be tougher!
loading_tip_021,Not all scenarios require all enemies to be killed to be completed - be sure to check your objectives.
loading_tip_022,"Allies can be a helpful in scenarios, but are often a little reckless - try to divert attacks from them to keep them alive!"
loading_tip_023,"If you are unsure if you will get to act early or late, consider picking a pair of cards that are useful regardless of whether you get to go first or last."
loading_tip_024,"Observe the enemy moves and learn their decks and abilities. Some creatures are consistently fast and others slow, which is knowledge you can use to your advantage."
loading_tip_025,You can press L to see the Line of Sight display.
loading_tip_026,
locked_door_tooltip,Locked Door
loggingcamp,Logging Camp
loggingcamp_descr,"This camp has been recently deserted after a number of Inox raids from the nearby Forest. A hastily-purposed field to the south bears witness to this fact, with a large number of wooden crosses sticking out of the ground."
longrest1,Choose one discarded card to burn to recover all other discarded cards.
longrest2,Refresh all of your spent Items.
longrest3,By choosing to Long Rest you will not be able to select another card for this round.
loot,Loot
lostcatacombs,Lost Catacombs
lostcrypt,Lost Crypt
lowtown,Lowtown
lowtown_descr,"Lowtown houses the descendants of the refugees from the great war. Some have worked out how to make a living, many haven't. Life is cheap here, and some shops are too, but don't expect to find powerful magical artifacts."
lurker,Lurker
lurkerelite,Lurker Elite
manasphere,Mana Sphere
marcellussc-regular sdf,MarcellusSC-Regular
medium,Medium
meledps,Melee DPS
melesupport,Melee Support
meletank,Melee Tank
merchantdialogname,Merchant
mercilessoverseer,Merciless Overseer
message_complete_achievement_1_1_beasttyrantreachlevel2_1,The Beast Tyrant has come to me with information that Rot is spreading across the land.
message_complete_achievement_1_1_beasttyrantreachlevel2_2,He is able to converse with some small communities of wild creatures and he has offered our help.
message_complete_achievement_1_1_beasttyrantreachlevel2_3,That was kind of him!
message_complete_achievement_1_1_beasttyrantreachlevel2_4,"In response, they will help us against the Rot, it starts near Sweetwater."
message_complete_achievement_1_1_berserkerreachlevel2_1,We’ve received word that the Overseer has returned to Gloomhaven.
message_complete_achievement_1_1_berserkerreachlevel2_2,"He’s dangerous, and he’s got history with the Berserker's clan, so I’m letting her lead the investigation. You need to find him and take him down."
message_complete_achievement_1_1_brutereachlevel2_1,"An old friend has contacted the Brute with regards to a caravan guard mission he needs help with, go check it out."
message_complete_achievement_1_1_cragheartreachlevel2_1,It is time for the Cragheart to start their pilgrimage to the holy Savvas shrines in the area. The Temple of the Winds can be found here.
message_complete_achievement_1_1_elementalistreachlevel2_1,"The Elementalist has been researching Swagger, a Hero from hundreds of years past who had mastered both Melee and Magic combat."
message_complete_achievement_1_1_elementalistreachlevel2_2,I’ve told them to investigate the ruined village of Mudchute near Bloodford. Maybe they can find out how to bolster their own melee abilities!
message_complete_achievement_1_1_mindthiefreachlevel2_1,"The Mindthief has received a hastily-scrawled note from the others in her nest under Demonsgate, warning that humans are threatening her home."
message_complete_achievement_1_1_nightshroudreachlevel2_1,"Now the Nightshroud is firmly part of the team, he has indicated to me that he wants to research some of the rarer enemies found around the land."
message_complete_achievement_1_1_nightshroudreachlevel2_2,How does he want to research them?
message_complete_achievement_1_1_nightshroudreachlevel2_3,By killing them and dissecting their corpses.
message_complete_achievement_1_1_nightshroudreachlevel2_4,"Oh, ‘that’ kind of research?"
message_complete_achievement_1_1_nightshroudreachlevel2_5,Yes. First he’s suggesting heading to The Pyre to collect Spirit ectoplasm.
message_complete_achievement_1_1_quartermasterreachlevel2_1,The Quartermaster has heard from an old colleague in Demonsgate that one of their City Guard equipment stockpiles inside the central vault has been raided.
message_complete_achievement_1_1_quartermasterreachlevel2_2,How much did they take? Some of that equipment is worth a fortune!
message_complete_achievement_1_1_quartermasterreachlevel2_3,"Pretty much everything, enough to outfit a small army… The Quartermaster has been tasked by Demonsgate to investigate."
message_complete_achievement_1_1_quartermasterreachlevel2_4,"We would head straight there, but the vault’s guards were slaughtered - and it appears the thief stole their vault key, too."
message_complete_achievement_1_1_quartermasterreachlevel2_5,I heard Lowtown holds a spare key for the vault. We can head there.
message_complete_achievement_1_1_scoundrelreachlevel2_1,"I woke up this morning and found a letter outside the front door. It's for the Scoundrel, and asks for a rendezvous in the forest. Can I not be the middle man in future please?"
message_complete_achievement_1_1_soothsingerreachlevel2_1,"The Soothsinger asked my advice on places she could go to get inspiration for a few new songs, and I suggested visiting one of the less bloodthirsty Bandit gangs."
message_complete_achievement_1_1_soothsingerreachlevel2_2,There is a group up near Gibbet Hill who might be able to help out.
message_complete_achievement_1_1_spellweaverreachlevel2_1,"We have received a missive for the Spellweaver from the Aesther community, asking for help investigating a disturbance in the magical equilibrium in the Eastern Forest. "
message_complete_achievement_1_1_spellweaverreachlevel2_2,I'll mark it on your map.
message_complete_achievement_1_1_summonerreachlevel2_1,"The Summoner has reported a... “shift among the planes” outside Wayward, and has suggested we investigate."
message_complete_achievement_1_1_summonerreachlevel2_2,A shift among the planes? What does that even mean?
message_complete_achievement_1_1_summonerreachlevel2_3,"‘The first impossible connection of two incompatible planes, which must be studied.’ That’s what she told me when I asked her that."
message_complete_achievement_1_1_summonerreachlevel2_4,That sounds bad. We should probably do something about that.
message_complete_achievement_1_1_sunkeeperreachlevel2_1,The Sunkeeper has advised me that she wishes to use her newly found abilities to do good in the land.
message_complete_achievement_1_1_sunkeeperreachlevel2_2,I’ve identified a Vermling Camp near Wayfarer’s Rest that has recently been attacked which may need our help.
message_complete_achievement_1_1_sunkeeperreachlevel2_3,But how will they pay us?.. I don’t understand!
message_complete_achievement_1_1_tinkererreachlevel2_1,The Tinkerer has been studying the origins of Demonology in an effort to try and help defeat them. He's identified somewhere we should investigate.
message_complete_achievement_1_1_unlocklocations_1,"You've made a good start on heading South West, and we've got a few more towns contacting us for help, all the way to the coast!"
message_complete_achievement_1_1_unlocklocations_2,"Err, boss, there is an Aesther woman here who wants to see you. She says she might be able to help us..."
message_complete_achievement_1_1_unlocklocations_3,"What you are doing... reconnecting people, driving back the darkness, and preserving the weak, I deem it worthy."
message_complete_achievement_1_1_unlocklocations_4,"I shall grant you access to my Enhancements. Come visit my tent, and together we shall improve your warriors' prowess. The more towns you unlock, the more powerful you can become."
message_complete_achievement_1_1_unlocklocations_5,"Well, she was straight to the point!"
message_complete_achievement_1_1_unlocklocations_6,"An Enchantress! Be aware, her services don't come cheap. Now we have unlocked more of the world, prepare for the danger to increase. But don't worry, the rewards will follow suit. I've also unlocked some more Achievements to aim for."
message_complete_achievement_1_2_reachdemonspinehollow_1,"After looking in more detail into the area around LowTown, we have found some strange crystals piled up in the forest."
message_complete_achievement_1_2_reachdemonspinehollow_2,"They emit an incredibly strong aura of Earth Magic, and look to have been the cause of the weird behaviour of the Vermlings, as well as the enhanced magical power in the area."
message_complete_achievement_1_2_reachdemonspinehollow_3,We are getting reports of similar magical deviations around the town of Fordingbridge to the South.
message_complete_achievement_1_2_reachfordingbridge_1,"While exploring Fordingbridge a rather unpleasant individual accosted me in the street, he was dripping with what only I can describe as raw sewage."
message_complete_achievement_1_2_reachfordingbridge_2,"I initially waved him away, but he told me he was from the Sweetwater town Council, I laughed, but he was adamant."
message_complete_achievement_1_2_reachfordingbridge_3,"Apparently they have a problem they need looking into. I told him we would investigate it to make him go away, i'll mark Sweetwater on your map."
message_complete_achievement_1_2_reachthesloshedsquirrel_1,I was.. doing some 'important business' in The Sloshed Squirrel and I heard some worrying news from the patrons.
message_complete_achievement_1_2_reachthesloshedsquirrel_2,"It seems travellers to Amberhill have been going missing, and the whole town is in lockdown."
message_complete_achievement_1_2_reachthesloshedsquirrel_3,"Probably worth our while going to check it out and see if we can help or err, make some money?"
message_complete_achievement_1_2_unlocklocations_1,We've reached the coast! That's the first part of the realm reconnected.
message_complete_achievement_1_2_unlocklocations_2,I've also been contacted by some outposts in the Eastern forest. We should start to look there for work too.
message_complete_achievement_1_2_unlocklocations_3,I'll add that to the next set of Achievements to attain!
message_complete_achievement_1_3_unlocklocations_1,"We're a good way through the forest now, and I've had more contacts come in, this time, from the Badlands to the north."
message_complete_achievement_1_3_unlocklocations_2,"Beware though, I've heard rumours of Drakes and Demons. It's not a place for the faint of heart!"
message_complete_achievement_1_4_unlocklocations_1,"The Badlands is well explored now, and we are starting to receive messages from the Great Forest even further north."
message_complete_achievement_1_4_unlocklocations_2,Let's seek out the outposts further North. They are surely to have some impressive equipment to trade!
message_complete_achievement_1_4_unlocklocations_3,Our last Objective now is to reach Wildspire in the depth of the forest.
message_complete_achievement_1_5_unlocklocations_1,"Well done! All the towns to the Barren Coast, the Eastern Forest, The Badlands and up to the Great North Forest have been connected. The first chapter of our Guild's history is complete!"
message_complete_achievement_1_5_unlocklocations_2,It seems the villages of the realm have banded together to reward us with a nice pile of gold coins!
message_end_quest_story_2d_1,Great work getting through the basic training missions. Allow me to introduce you to the third member of the Guild; he ain't much of a fighter though...
message_end_quest_story_2d_2,"Hey, not all of us particularly care to be experts at stabbing people!

Oh, err... please excuse me. *Ahem*"
message_end_quest_story_2d_3,"Greetings, guildmaster. I'm the humble <b>Merchant</b> of your fledgling Guild. I deal with the important aspects of running a Guild... in other words, <i>money</i>. Which, might I add, is sorely lacking at the moment..."
message_end_quest_story_2d_4,"What you can see right now is the <b>World Map</b>. You've probably noticed it looks a bit barren at the moment, and, well... I've got some good news and some bad news for you.

The bad news is that the realm has been overrun with all manner of unpleasant monsters - rogue bandits, wandering undead, dark cultists, you name it. The good news is that you're going to help us restore the routes back to the other settlements out there, hidden in the fog."
message_end_quest_story_2d_5,"Before we can do anything about that however, we'll need to get some mercenaries on the Guild roster. Let's start with actually recruiting the poor old <b>Brute</b>, who's got himself into a spot of bother... again."
message_end_quest_story_3a_1,"The <b>Brute</b> sure can soak up damage well, but he’s not the most mobile."
message_end_quest_story_3a_2,"Having ample funds is going to be of utmost importance in getting this Guild off the ground. Do you know anyone good at... erm, gold acquisition?"
message_end_quest_story_3a_3,"I know just the woman - she’s also a dab hand at poking holes in those who get in her way. She's in the process of liberating some gold right now, shall we lend her a hand?"
message_end_quest_story_3b_1,"The first thing we should do as a Guild is re-establish the trade route with Gibbet Hill to the West. We’ve been having a small problem with bandits in the woodland en route, but with the Brute and Scoundrel to assist, that's nothing that should cause you any trouble."
message_end_quest_story_3b_2,"It’ll give you some much needed experience on the job, and allow me to get some new <b>item</b>s in stock once the way is cleared. Go knock some bandit heads together!"
message_end_quest_story_4a_1,"It's about time you learned about the fundamentals of magic. I know a <b>Spellweaver </b>who should be able to show you a thing or two, and last I heard from her, she was researching a stone circle in a forest nearby Gibbet Hill. With all these monsters about, we ought to check she's OK."
message_end_quest_story_5a_1,That's the elemental schools of magic covered. Perhaps we could do with recruiting someone who understands hi-tech contraptions and such? I swear there was a Quatryl <b>Tinkerer</b> messing about with a power core or some other artifact in the tavern not too long ago...
message_end_quest_story_5a_2,"Good call. I heard he was looking for fellow explorers to investigate a tomb nearby, barkeep said he set off yesterday. Sounds to me like the sort who might be interested in joining a Guild such as our own - let's see if we can find him!"
message_end_quest_story_5b_1,"We're getting a proper mercenary guild together now! Speaking of paid jobs, I've met someone who has requested our help."
message_end_quest_story_5b_2,"Peace be with you. I am the <b>Priestess</b> here, sworn to the Sanctuary of the Great Oak. I thank you for meeting with me, as we at the Sanctuary are in dire need of assistance.

You see, the holy crypt in the catacombs beneath the Sanctuary has been broken into and defiled by deranged cultists, raising hordes of undead to do their nefarious bidding... I beg of thee, please help us be rid of this menace!"
message_end_quest_story_5b_3,"All too common an occurrence these days... Anyhow, sounds like an opportunity to try out our two latest recruits together - get to it."
message_end_quest_story_5c_1,"I cannot express just how grateful I am... Truly, thank you. With the threat to the Sanctuary gone, we can finally resume the restoration of the Temple here. It will be some time before we are ready to resume our normal services, but I hope we can be of help in the future. I bid you farewell."
message_end_quest_story_5c_2,"Hang on a second, we did that for <i>free</i>?! I thought we were supposed to be looking for paid jo- Oh, never mind...

<size=90%>Join a guild, they said... <size=80%>It'll be fun, they said... <size=70%>""You'll make heaps of gold""... Pfft! <size=60%>*Grumble grumble*"
message_end_quest_story_5c_3,"Don't mind him. Thanks to you, the Temple will reopen in due time, and you will be glad to receive their blessings.

Now, the next village we've lost contact with is The Marches. The route is under lockdown after a number of raids from small bands of Vermlings camping nearby."
message_end_quest_story_5c_4,"I want you to head up North and see if you can drive them out.

Oh, and watch out for their hounds. Let these scars across my face be a warning to you - you get up close to those dogs and they'll bite back!"
